"V1","word"
4782,"you"
93,"amazing"
30,"powers"
3,"visualization"
62,"paint"
36,"ideal"
794,"world"
65,"images"
1150,"take"
98,"steps"
468,"real"
72,"liked"
1,"thecareerbuilder"
1,"comad"
1,"harried"
714,"office"
73,"worker"
3,"chimpanzees"
1040,"im"
2,"sucker"
1,"etrade"
29,"babies"
351,"although"
94,"yesterday"
9394,"as"
5,"edgy"
235,"fun"
2,"incarnations"
23,"bud"
255,"light"
79,"rescue"
177,"dog"
1,"weego"
95,"ok"
637,"went"
1,"bl"
29,"knight"
421,"conference"
45,"reportedly"
509,"working"
249,"toward"
155,"television"
62,"espn"
1,"neinas"
81,"pushing"
640,"members"
108,"agree"
116,"longterm"
122,"grant"
232,"media"
216,"rights"
389,"league"
3258,"all"
59,"impossible"
614,"schools"
11,"bolt"
103,"whos"
769,"left"
45,"wondering"
332,"whose"
34,"cellphone"
1017,"got"
1642,"those"
33,"grass"
4,"stains"
35,"shirt"
12,"collar"
596,"third"
396,"party"
24,"reject"
19,"advances"
1261,"go"
3,"suitor"
178,"maryland"
5,"wealthiest"
2501,"state"
509,"country"
23,"marylands"
62,"equal"
19,"exempt"
111,"conditions"
249,"allowed"
18,"trayvon"
165,"martin"
40,"tragedy"
39,"occur"
131,"battle"
57,"equity"
1182,"against"
65,"established"
119,"systems"
52,"institutions"
1,"childwellbeing"
7,"indicators"
10,"disparities"
7,"infancy"
4,"adulthood"
1093,"see"
69,"advocates"
118,"youth"
32,"httpwww"
1,"acy"
114,"org"
541,"information"
751,"health"
23,"infant"
11,"mortality"
1,"lowbirthweight"
57,"educational"
87,"academic"
42,"achievement"
5,"disparate"
1,"administering"
45,"discipline"
112,"policies"
15,"suspensions"
2,"expulsions"
1,"schoolbased"
45,"arrests"
307,"child"
37,"welfare"
107,"color"
1098,"being"
77,"removed"
317,"higher"
177,"rates"
493,"white"
21,"counterparts"
30,"juvenile"
190,"justice"
907,"every"
220,"stage"
110,"arrest"
19,"placement"
272,"tried"
405,"isnt"
343,"question"
583,"whether"
282,"wants"
828,"former"
246,"florida"
59,"utah"
664,"coach"
208,"step"
2415,"into"
1,"cesspool"
321,"pick"
478,"jobs"
23,"barrett"
21,"acknowledges"
718,"might"
1,"brusque"
665,"times"
226,"easy"
82,"parent"
13,"attends"
140,"teacher"
32,"performs"
99,"volunteer"
474,"hours"
369,"parents"
41,"valuable"
31,"contribution"
104,"typically"
9,"occurs"
59,"elsewhere"
21,"ensuring"
24,"homework"
275,"gets"
488,"done"
288,"clear"
391,"important"
94,"greg"
47,"roberts"
1,"ancoras"
79,"acting"
339,"security"
168,"leadership"
12,"staffing"
97,"patient"
579,"care"
27,"stressed"
40,"literally"
303,"starting"
12,"basics"
1,"yearplus"
2602,"some"
32,"sustainable"
249,"changes"
3,"fontbonne"
689,"university"
220,"study"
18,"abroad"
4,"gail"
1,"schafers"
10,"conceded"
690,"students"
123,"interested"
107,"opportunities"
30,"choosing"
369,"summer"
251,"short"
151,"term"
186,"travel"
256,"programs"
806,"between"
1756,"three"
1103,"four"
87,"conduct"
12,"consortium"
